epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4078.93,0.61935,0.43923,0.85066,0.99836,1,0.995,0.8723,0.56795,0.38077,0.82076,0.000866375,0.000866375,0.000866375
64,4160.56,0.60439,0.45462,0.84541,0.99697,0.99907,0.995,0.89328,0.51195,0.38163,0.81031,0.000860188,0.000860188,0.000860188
65,4234.63,0.62467,0.44344,0.8613,0.99604,1,0.995,0.871,0.5901,0.39217,0.82544,0.000854,0.000854,0.000854
66,4343.41,0.57891,0.42624,0.85127,0.99642,1,0.995,0.87911,0.56542,0.37145,0.82159,0.000847813,0.000847813,0.000847813
67,4405.34,0.63073,0.43331,0.84547,0.99348,0.99981,0.995,0.87496,0.56391,0.39202,0.82146,0.000841625,0.000841625,0.000841625
68,4464.93,0.61107,0.44616,0.85274,0.99804,1,0.995,0.88337,0.52965,0.36955,0.8118,0.000835438,0.000835438,0.000835438
69,4530.78,0.54877,0.40938,0.83919,0.99847,1,0.995,0.89095,0.52346,0.3636,0.81173,0.00082925,0.00082925,0.00082925
70,4621.45,0.58161,0.4233,0.83747,0.99833,1,0.995,0.89118,0.49446,0.34804,0.8087,0.000823063,0.000823063,0.000823063
71,4677.56,0.5394,0.41836,0.84121,0.99819,1,0.995,0.88316,0.51851,0.35571,0.80811,0.000816875,0.000816875,0.000816875
72,4753.18,0.5875,0.4377,0.85431,0.99617,1,0.995,0.89282,0.50158,0.35862,0.80826,0.000810688,0.000810688,0.000810688
73,6194.11,0.5651,0.41497,0.83095,0.99788,1,0.995,0.90377,0.47629,0.35013,0.80228,0.0008045,0.0008045,0.0008045
74,6514.47,0.55923,0.41312,0.83458,0.99855,0.99882,0.995,0.91103,0.47271,0.33078,0.80485,0.000798313,0.000798313,0.000798313
75,6562.51,0.55371,0.40722,0.83998,0.98794,0.95028,0.96424,0.85884,0.53616,0.36984,0.81261,0.000792125,0.000792125,0.000792125
