epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2109.34,0.52069,0.38541,0.84171,0.96817,0.94054,0.98289,0.80532,0.77183,0.42874,0.91646,0.000736438,0.000736438,0.000736438
85,2128.33,0.51912,0.37413,0.82949,0.96328,0.95238,0.9809,0.78733,0.82859,0.43561,0.93418,0.00073025,0.00073025,0.00073025
86,2148.02,0.53038,0.38271,0.82363,0.98063,0.94874,0.98962,0.80379,0.79608,0.44372,0.92365,0.000724062,0.000724062,0.000724062
87,2166.78,0.51438,0.37825,0.83632,0.97047,0.97779,0.99248,0.83088,0.71066,0.37719,0.90018,0.000717875,0.000717875,0.000717875
88,2185.8,0.49966,0.3634,0.84375,0.98548,0.98465,0.9934,0.79701,0.77526,0.39397,0.91728,0.000711687,0.000711687,0.000711687
89,2206.57,0.51197,0.37468,0.82468,0.97393,0.98325,0.99129,0.79308,0.8069,0.40654,0.92579,0.0007055,0.0007055,0.0007055
90,2226.31,0.52094,0.36952,0.83536,0.95536,0.9881,0.9876,0.80855,0.75669,0.40817,0.90542,0.000699312,0.000699312,0.000699312
91,2247.01,0.49451,0.36382,0.83111,0.97717,0.98465,0.98964,0.81884,0.77469,0.38996,0.90625,0.000693125,0.000693125,0.000693125
92,2266.58,0.51343,0.37183,0.83494,0.98954,0.9881,0.98912,0.82354,0.73278,0.39011,0.89762,0.000686937,0.000686937,0.000686937
93,2286.1,0.5179,0.37993,0.82943,0.9878,0.9881,0.98967,0.82456,0.75066,0.40068,0.90612,0.00068075,0.00068075,0.00068075
94,2306.16,0.53963,0.3639,0.82759,0.96886,0.9881,0.98415,0.80131,0.79308,0.41788,0.91743,0.000674562,0.000674562,0.000674562
95,2325.93,0.51249,0.36305,0.82667,0.96674,0.9881,0.98003,0.82461,0.75076,0.41694,0.90273,0.000668375,0.000668375,0.000668375
96,2344.84,0.5046,0.36345,0.83579,0.96794,0.98557,0.97783,0.81065,0.75619,0.42234,0.89813,0.000662188,0.000662188,0.000662188
97,2364.8,0.49069,0.35369,0.83428,0.98973,0.9881,0.98561,0.81076,0.75199,0.42192,0.89953,0.000656,0.000656,0.000656
98,2384.67,0.48294,0.35757,0.82701,0.97728,0.96429,0.98268,0.81919,0.7048,0.39782,0.88572,0.000649813,0.000649813,0.000649813
99,2403.87,0.48997,0.35301,0.82784,0.96766,0.96429,0.98055,0.81245,0.75221,0.40809,0.90533,0.000643625,0.000643625,0.000643625
100,2425.15,0.51216,0.35412,0.83403,0.98614,0.96429,0.98391,0.80748,0.76026,0.40025,0.89944,0.000637437,0.000637437,0.000637437
101,2444.56,0.50555,0.36546,0.8355,0.97781,0.96269,0.97793,0.82962,0.69148,0.39577,0.88016,0.00063125,0.00063125,0.00063125
102,2465,0.49277,0.34466,0.81907,0.96481,0.96429,0.97933,0.80551,0.73334,0.40042,0.90272,0.000625062,0.000625062,0.000625062
103,2485.02,0.47644,0.35645,0.8265,0.9688,0.96429,0.97912,0.82111,0.71926,0.40451,0.8913,0.000618875,0.000618875,0.000618875
104,2506.22,0.48611,0.34924,0.82639,0.96756,0.97619,0.97969,0.82167,0.72077,0.4032,0.90057,0.000612687,0.000612687,0.000612687
105,2526.66,0.47233,0.34067,0.81571,0.95651,0.9881,0.98034,0.84126,0.6799,0.37779,0.89442,0.0006065,0.0006065,0.0006065
106,2547.73,0.50371,0.34761,0.83613,0.96442,0.97619,0.98139,0.78713,0.80505,0.45202,0.93135,0.000600313,0.000600313,0.000600313
107,2568.01,0.47582,0.33482,0.81903,0.95202,0.98191,0.97727,0.81709,0.72654,0.45163,0.90038,0.000594125,0.000594125,0.000594125
108,2590.46,0.46766,0.33685,0.82286,0.9669,0.9836,0.98412,0.8379,0.72864,0.38944,0.89637,0.000587938,0.000587938,0.000587938
109,2610.44,0.48072,0.34806,0.8284,0.97665,0.9881,0.99058,0.8206,0.76665,0.37279,0.9236,0.00058175,0.00058175,0.00058175
110,2635.63,0.4585,0.33902,0.8286,0.98945,0.98434,0.9925,0.83013,0.74817,0.35899,0.91165,0.000575563,0.000575563,0.000575563
111,2661.71,0.46341,0.33116,0.82609,0.99028,0.98622,0.99177,0.84197,0.71205,0.3618,0.90005,0.000569375,0.000569375,0.000569375
112,2684.42,0.45164,0.34744,0.81723,0.9928,0.9881,0.992,0.81173,0.77949,0.37279,0.92238,0.000563187,0.000563187,0.000563187
113,2704.58,0.46669,0.33439,0.82283,0.98494,0.9881,0.98652,0.80511,0.78534,0.38975,0.93531,0.000557,0.000557,0.000557
114,2725.95,0.45773,0.32653,0.82946,0.97586,0.96148,0.97778,0.80599,0.74741,0.39897,0.91578,0.000550813,0.000550813,0.000550813
115,2747.85,0.47302,0.33554,0.81629,0.99285,0.96113,0.98275,0.7945,0.82017,0.4167,0.94878,0.000544625,0.000544625,0.000544625
116,2774.91,0.48345,0.33831,0.83056,0.98196,0.97619,0.99226,0.81404,0.80213,0.38538,0.93134,0.000538438,0.000538438,0.000538438
117,2812.07,0.46231,0.32982,0.82886,0.99505,0.97949,0.99375,0.80838,0.81305,0.38707,0.93574,0.00053225,0.00053225,0.00053225
118,2843.96,0.441,0.31174,0.81251,0.98905,0.97111,0.9904,0.81407,0.75135,0.35986,0.91836,0.000526063,0.000526063,0.000526063
119,2877.07,0.46766,0.33645,0.82265,0.9612,0.98741,0.98739,0.82514,0.71218,0.373,0.90534,0.000519875,0.000519875,0.000519875
